,membership_category,avg_transaction_value,points_in_wallet,feedback,churn_risk_score
5455,No Membership,2674.23,1149.504176185058,Poor Product Quality,1
5456,Basic Membership,45136.14,690.48,Too many ads,1
5457,Platinum Membership,34077.33,785.15,Poor Product Quality,0
5458,Silver Membership,22621.99,795.06,Poor Customer Service,0
5459,Basic Membership,2772.1,660.49,Poor Website,1
5460,Gold Membership,28334.39,729.26,Products always in Stock,0
5461,Premium Membership,29758.57,705.08,Products always in Stock,0
5462,Platinum Membership,22152.82,1266.51852631966,Poor Customer Service,0
5463,Premium Membership,40107.65,825.22,Products always in Stock,0
5464,Gold Membership,2176.07,1287.0585523817188,Poor Customer Service,0
5465,Basic Membership,44637.52,529.99,Poor Customer Service,1
5466,Platinum Membership,11775.45,737.01,Too many ads,0
5467,Silver Membership,33188.99,1065.574142093502,Poor Product Quality,1
5468,Silver Membership,6179.92,345.4267445552957,No reason specified,0
5469,Premium Membership,35342.32,721.94,Poor Website,0
5470,Silver Membership,17542.87,1152.1947357126835,No reason specified,0
5471,No Membership,24694.56,672.62,No reason specified,1
5472,Platinum Membership,38340.43,737.6,Poor Customer Service,0
5473,Basic Membership,41019.18,665.57,Poor Customer Service,1
5474,Gold Membership,10490.67,730.0,User Friendly Website,0
5475,No Membership,47376.04,671.65,Too many ads,1
5476,Basic Membership,22530.15,1093.1689677358472,Poor Product Quality,1
5477,No Membership,32822.77,660.91,No reason specified,1
5478,No Membership,40368.15,173.6475529411341,Poor Product Quality,1
5479,Basic Membership,40536.05,640.06,Poor Website,1
5480,Silver Membership,15800.24,966.5564156021338,Too many ads,1
5481,Premium Membership,81582.67,811.36,Reasonable Price,0
5482,No Membership,43073.77,640.06,Poor Product Quality,1
5483,Premium Membership,11759.52,790.79,Poor Customer Service,0
5484,Silver Membership,24563.63,652.02,No reason specified,1
5485,Premium Membership,2195.4,811.01,User Friendly Website,0
5486,No Membership,28932.82,675.81,Poor Customer Service,1
5487,Silver Membership,11995.93,207.1697690180181,Poor Customer Service,1
5488,Basic Membership,24737.79,0.0,Too many ads,1
5489,Basic Membership,42738.19,564.75,Poor Customer Service,1
5490,Premium Membership,32898.53,734.02,Too many ads,0
5491,No Membership,4174.35,562.41,Poor Customer Service,1
5492,Platinum Membership,41100.11,172.56159048232033,Poor Website,0
5493,Basic Membership,34870.38,552.39,No reason specified,1
5494,No Membership,28584.51,622.26,No reason specified,1
5495,Silver Membership,21752.26,658.24,Poor Product Quality,1
5496,Basic Membership,36831.96,0.0,No reason specified,1
5497,Premium Membership,20739.39,768.45,Too many ads,0
5498,No Membership,18066.02,586.82,Poor Customer Service,1
5499,Basic Membership,27429.08,557.68,Too many ads,1
5500,Basic Membership,6191.88,716.41,Too many ads,1
5501,Gold Membership,82465.96,712.99,Products always in Stock,0
5502,Premium Membership,23838.97,764.97,Products always in Stock,0
5503,Gold Membership,21367.6,268.68336707793065,Poor Website,0
5504,Premium Membership,85817.62,785.17,User Friendly Website,0
5505,Silver Membership,2977.17,723.42,Poor Website,0
5506,No Membership,33317.77,909.5074386544096,Poor Website,1
5507,Silver Membership,21778.79,785.71,Poor Customer Service,0
5508,No Membership,14834.57,358.0773142763453,No reason specified,1
5509,Platinum Membership,8598.82,0.0,Poor Website,0
5510,Gold Membership,3375.1,848.05,Reasonable Price,0
5511,Platinum Membership,3659.86,703.21,Poor Customer Service,0
5512,Basic Membership,47253.96,681.69,No reason specified,1
5513,Basic Membership,26659.21,508.92,Poor Product Quality,1
5514,No Membership,48786.28,604.0,Poor Customer Service,1
5515,Basic Membership,39672.53,609.61,No reason specified,1
5516,Basic Membership,29230.41,633.19,No reason specified,1
5517,No Membership,18367.24,510.41,Poor Website,1
5518,Premium Membership,46520.66,776.51,Poor Website,0
5519,Platinum Membership,9741.67,732.83,Too many ads,0
5520,Basic Membership,18056.04,622.88,Poor Product Quality,1
5521,Gold Membership,6050.02,705.49,Too many ads,1
5522,No Membership,11926.85,328.9671604561081,No reason specified,1
5523,No Membership,9239.76,0.0,Poor Customer Service,1
5524,Premium Membership,57689.38,751.01,Reasonable Price,0
5525,Gold Membership,35530.59,0.0,Too many ads,1
5526,Silver Membership,35922.85,735.48,Products always in Stock,0
5527,Silver Membership,16532.09,0.0,Too many ads,1
5528,Premium Membership,34783.05,0.0,Poor Customer Service,0
5529,Gold Membership,99149.6,835.91,Reasonable Price,0
5530,Silver Membership,62858.07,735.49,Reasonable Price,0
5531,Gold Membership,19869.58,983.415079101438,Too many ads,1
5532,Premium Membership,66982.61,164.80076897738957,Products always in Stock,0
5533,Premium Membership,49050.43,1070.227799386494,Poor Website,0
5534,Silver Membership,37936.21,729.8,Poor Website,0
5535,Premium Membership,9308.55,738.61,Poor Website,0
5536,Gold Membership,40421.0,652.91,Too many ads,1
5537,Basic Membership,3442.82,521.9,Poor Website,1
5538,Gold Membership,44818.82,757.18,No reason specified,0
5539,No Membership,22891.22,650.7,Poor Website,1
5540,No Membership,44301.0,504.06,Poor Website,1
5541,Gold Membership,60904.55,835.88,User Friendly Website,0
5542,Basic Membership,45634.99,664.35,No reason specified,1
5543,Silver Membership,74923.89,715.86,Reasonable Price,0
5544,No Membership,22716.14,691.99,Poor Product Quality,1
5545,Gold Membership,49991.54,748.15,Too many ads,0
5546,Premium Membership,16586.47,791.57,Too many ads,0
5547,Gold Membership,11917.84,837.39,Reasonable Price,0
5548,Platinum Membership,54814.0,0.0,Reasonable Price,0
5549,Premium Membership,15222.11,781.03,Poor Customer Service,0
5550,Basic Membership,13036.94,505.54,Too many ads,1
5551,Premium Membership,6886.39,752.2,Too many ads,0
5552,Basic Membership,24324.58,698.48,Poor Website,1
5553,Gold Membership,42023.56,658.15,No reason specified,1
5554,Gold Membership,13249.83,783.22,Poor Website,0
5555,No Membership,46859.72,1046.757408533192,Poor Website,1
5556,Gold Membership,7231.3,652.91,Poor Product Quality,1
5557,Silver Membership,3695.59,738.83,Too many ads,0
5558,Gold Membership,46505.76,756.39,No reason specified,0
5559,Basic Membership,1610.61,210.2483247303876,Poor Customer Service,1
5560,No Membership,33221.39,0.0,Poor Website,1
5561,Basic Membership,18073.53,687.21,Poor Website,1
5562,Platinum Membership,11515.34,755.14,Too many ads,0
5563,Silver Membership,11253.45,650.61,Too many ads,1
5564,Silver Membership,46026.7,733.81,User Friendly Website,0
5565,No Membership,6496.61,606.4,Too many ads,1
5566,No Membership,47126.4,660.73,Poor Customer Service,1
5567,Premium Membership,11854.11,771.27,Quality Customer Care,0
5568,Platinum Membership,11864.47,733.55,Poor Product Quality,0
5569,Premium Membership,35042.79,793.53,No reason specified,0
5570,Platinum Membership,21781.38,766.79,No reason specified,0
5571,Silver Membership,5748.0,676.59,Poor Customer Service,1
5572,Basic Membership,19598.77,663.69,Poor Product Quality,1
5573,Premium Membership,11988.84,704.4,Poor Product Quality,0
5574,No Membership,24338.06,650.91,Poor Website,1
5575,No Membership,35284.11,686.33,No reason specified,1
5576,Platinum Membership,36367.32,726.31,No reason specified,0
5577,No Membership,37621.04,642.16,No reason specified,1
5578,Basic Membership,9552.52,575.97,No reason specified,1
5579,Silver Membership,29157.83,0.0,Poor Customer Service,1
5580,Premium Membership,22716.53,834.37,User Friendly Website,0
5581,Premium Membership,40457.66,786.2,Poor Website,0
5582,Basic Membership,31882.06,297.468232609871,No reason specified,1
5583,Basic Membership,37742.64,661.56,No reason specified,1
5584,No Membership,11090.95,675.32,Poor Product Quality,1
5585,No Membership,14898.9,516.56,Poor Customer Service,1
5586,No Membership,13223.85,677.03,Poor Product Quality,1
5587,No Membership,3750.98,633.32,Poor Website,1
5588,Premium Membership,6063.06,791.02,User Friendly Website,0
5589,Silver Membership,3869.51,744.62,No reason specified,0
5590,No Membership,30822.3,204.11784272213688,Poor Product Quality,1
5591,Silver Membership,26666.68,0.0,No reason specified,1
5592,Basic Membership,18801.83,234.52695521542992,No reason specified,1
5593,Gold Membership,34067.98,768.47,Too many ads,0
5594,Premium Membership,8958.31,741.1,Products always in Stock,0
5595,Platinum Membership,39923.68,749.45,Too many ads,0
5596,Basic Membership,22113.08,161.61991117405626,Poor Customer Service,1
5597,Silver Membership,9581.32,680.37,Poor Website,1
5598,Premium Membership,32207.13,781.88,Poor Product Quality,0
5599,Gold Membership,37405.12,842.62,Quality Customer Care,0
5600,Silver Membership,46816.89,113.4927099504664,Poor Website,0
5601,Gold Membership,5267.81,0.0,No reason specified,0
5602,No Membership,32057.77,672.66,No reason specified,1
5603,Gold Membership,38123.47,216.74281152083503,Poor Customer Service,1
5604,Basic Membership,9966.83,351.08139829625543,Too many ads,1
5605,Silver Membership,42605.69,798.12,Poor Website,0
5606,Premium Membership,41266.39,219.1005918945704,Poor Customer Service,0
5607,No Membership,36843.22,695.48,Too many ads,1
5608,Gold Membership,42857.8,712.99,Poor Website,0
5609,Premium Membership,50852.53,1139.6022366993147,User Friendly Website,0
5610,Silver Membership,94392.42,739.59,Quality Customer Care,0
5611,Gold Membership,39849.46,779.99,Too many ads,0
5612,No Membership,19854.03,0.0,No reason specified,1
5613,No Membership,24051.31,678.82,Poor Product Quality,1
5614,Premium Membership,20877.57,714.64,Products always in Stock,0
5615,Premium Membership,51324.54,738.24,Products always in Stock,0
5616,Platinum Membership,61732.87,811.8586553415123,Reasonable Price,0
5617,Basic Membership,7647.54,661.78,No reason specified,1
5618,Premium Membership,35792.72,0.0,Poor Customer Service,0
5619,No Membership,49298.9,614.74,No reason specified,1
5620,Silver Membership,72537.15,419.0864818361448,Products always in Stock,0
5621,Platinum Membership,1544.02,755.92,Too many ads,0
5622,Silver Membership,15612.13,712.58,Poor Website,1
5623,Basic Membership,2080.12,549.09,Too many ads,1
5624,Premium Membership,24618.63,750.79,No reason specified,0
5625,Basic Membership,23043.87,613.96,Poor Product Quality,1
5626,Platinum Membership,22696.1,705.14,Quality Customer Care,0
5627,Silver Membership,18917.93,772.01,Too many ads,0
5628,Gold Membership,13346.06,1097.2383620371656,Poor Product Quality,1
5629,Gold Membership,34522.8,617.94,No reason specified,1
5630,Premium Membership,26034.47,780.76,Too many ads,0
5631,Premium Membership,86708.81,706.38,Reasonable Price,0
5632,Gold Membership,34791.58,0.0,Poor Customer Service,1
5633,Basic Membership,25375.98,0.0,Poor Customer Service,1
5634,No Membership,21269.44,0.0,No reason specified,1
5635,No Membership,29722.22,0.0,Poor Product Quality,1
5636,No Membership,6528.3,636.18,Poor Website,1
5637,Basic Membership,14328.05,896.8259716482721,Poor Website,1
5638,Silver Membership,40020.68,748.56,Poor Customer Service,0
5639,Silver Membership,29902.43,0.0,No reason specified,0
5640,Basic Membership,45810.96,0.0,Poor Website,1
5641,Gold Membership,5982.06,658.46,Too many ads,0
5642,Silver Membership,26546.6,742.74,Poor Customer Service,0
5643,Gold Membership,7332.95,785.15,Poor Website,0
5644,Basic Membership,38901.92,651.36,Too many ads,1
5645,No Membership,8058.06,573.32,Poor Website,1
5646,Basic Membership,12354.62,673.75,No reason specified,1
5647,Basic Membership,32985.16,0.0,No reason specified,1
5648,Basic Membership,23496.97,500.77,No reason specified,1
5649,Gold Membership,46219.2,1098.3381059628407,Poor Product Quality,1
5650,Silver Membership,20015.83,705.34,Poor Customer Service,0
5651,Silver Membership,10119.31,701.65,No reason specified,1
5652,Basic Membership,38908.1,609.26,Too many ads,1
5653,Platinum Membership,15813.54,983.8011262525656,Poor Website,0
5654,Platinum Membership,13832.61,746.19,Products always in Stock,0
5655,Basic Membership,4571.71,0.0,Poor Customer Service,1
5656,Silver Membership,34272.86,0.0,Poor Customer Service,1
5657,Gold Membership,46109.6,270.4676559723125,No reason specified,1
5658,Gold Membership,27249.38,770.24,No reason specified,0
5659,No Membership,30844.92,635.36,No reason specified,1
5660,Gold Membership,60085.0,719.86,Products always in Stock,0
5661,Silver Membership,49616.23,1113.2892034045542,Poor Product Quality,1
5662,Basic Membership,47356.25,626.06,Poor Customer Service,1
5663,Basic Membership,1717.76,656.39,Poor Product Quality,1
5664,Basic Membership,45570.06,679.04,Poor Customer Service,1
5665,Basic Membership,21136.14,693.66,Too many ads,1
5666,Basic Membership,32844.56,560.22,Poor Website,1
5667,Gold Membership,37608.83,0.0,Reasonable Price,0
5668,Premium Membership,45767.5,727.2,Poor Product Quality,0
5669,Basic Membership,26513.12,708.18,Poor Customer Service,1
5670,Platinum Membership,8963.32,762.55,Reasonable Price,0
5671,Premium Membership,26752.98,747.45,Reasonable Price,0
5672,Silver Membership,33116.38,705.72,Too many ads,1
5673,Premium Membership,56189.55,0.0,User Friendly Website,0
5674,Basic Membership,36426.51,558.52,No reason specified,1
5675,Silver Membership,36198.53,393.6256973886277,Poor Website,0
5676,No Membership,5943.13,541.47,Poor Product Quality,1
5677,Premium Membership,63738.23,759.25,User Friendly Website,0
5678,Premium Membership,20129.88,0.0,Quality Customer Care,0
5679,Basic Membership,12677.78,676.78,Too many ads,1
5680,Silver Membership,3413.7,470.34435044877154,Quality Customer Care,0
5681,Silver Membership,10120.81,718.87,No reason specified,0
5682,Platinum Membership,5669.28,743.83,No reason specified,0
5683,Silver Membership,22369.88,760.42,Too many ads,0
5684,Platinum Membership,84125.56,768.93,Products always in Stock,0
5685,Basic Membership,46266.48,0.0,Poor Customer Service,1
5686,Gold Membership,20434.22,758.52433761719,Too many ads,1
5687,Silver Membership,26490.33,773.38,Poor Customer Service,0
5688,No Membership,49881.56,0.0,No reason specified,1
5689,Premium Membership,39875.34,734.25,Poor Website,0
5690,Premium Membership,20850.96,717.18,Poor Customer Service,0
5691,Silver Membership,46224.99,762.06,User Friendly Website,0
5692,Silver Membership,2302.89,647.93,Too many ads,1
5693,Basic Membership,24421.7,624.88,Poor Product Quality,1
5694,Platinum Membership,21364.97,779.71,Reasonable Price,0
5695,Platinum Membership,25557.83,1423.191384543995,Poor Product Quality,0
5696,No Membership,28587.15,666.8,Too many ads,1
5697,No Membership,42933.16,238.651040773592,No reason specified,1
5698,No Membership,12103.59,570.99,Poor Product Quality,1
5699,Basic Membership,37716.38,505.06,Too many ads,1
5700,Basic Membership,38732.32,549.39,Too many ads,1
5701,Gold Membership,21263.07,0.0,Poor Product Quality,0
5702,Basic Membership,22329.27,638.81,Poor Website,1
5703,No Membership,6415.43,500.48,Poor Product Quality,1
5704,No Membership,11553.08,696.09,Poor Customer Service,1
5705,Basic Membership,45779.19,659.98,Poor Product Quality,1
5706,Basic Membership,18368.89,0.0,Poor Customer Service,1
5707,Silver Membership,24918.05,723.89,Poor Website,0
5708,Premium Membership,69510.81,1164.2827749181909,User Friendly Website,0
5709,Platinum Membership,19401.86,726.7,Poor Website,0
5710,No Membership,40958.02,550.91,Poor Website,1
5711,Basic Membership,30397.04,344.05519488228833,Poor Website,1
5712,Silver Membership,24231.94,1296.961091073042,User Friendly Website,0
5713,Gold Membership,87442.93,765.18,User Friendly Website,0
5714,Silver Membership,28451.88,635.15,Too many ads,1
5715,Gold Membership,38992.48,1162.9663999659958,Poor Product Quality,1
5716,No Membership,47190.33,683.73,Poor Website,1
5717,Premium Membership,18363.35,740.37,No reason specified,0
5718,Premium Membership,17295.18,732.43,Poor Website,0
5719,Platinum Membership,85672.61,457.80604198341865,Quality Customer Care,0
5720,No Membership,30634.31,1082.767666519524,Too many ads,1
5721,Gold Membership,22936.59,757.0,Products always in Stock,0
5722,Platinum Membership,1578.25,770.62,Poor Product Quality,0
5723,Gold Membership,15880.33,901.4165517794904,Poor Website,0
5724,No Membership,12212.12,534.48,No reason specified,0
5725,Basic Membership,45665.53,712.85,Poor Customer Service,1
5726,No Membership,22363.69,0.0,Poor Customer Service,1
5727,Basic Membership,21876.21,0.0,Poor Customer Service,1
5728,Premium Membership,39976.86,785.41,User Friendly Website,0
5729,Premium Membership,23272.01,831.77,User Friendly Website,0
5730,Basic Membership,10771.74,634.25,No reason specified,1
5731,No Membership,1781.32,683.54,Poor Customer Service,1
5732,Basic Membership,32930.01,678.75,No reason specified,1
5733,Silver Membership,2558.25,451.9501638152736,No reason specified,0
5734,Platinum Membership,6115.41,732.48,Quality Customer Care,0
5735,Platinum Membership,14436.07,297.4039450203437,Quality Customer Care,0
5736,Silver Membership,22636.62,771.09,Poor Product Quality,0
5737,Silver Membership,37328.16,0.0,Poor Product Quality,1
5738,Silver Membership,25181.98,669.6,Poor Product Quality,1
5739,Gold Membership,28364.54,653.67,Poor Customer Service,0
5740,Platinum Membership,8238.94,715.2,Too many ads,0
5741,Gold Membership,13669.31,762.99,Poor Customer Service,0
5742,Basic Membership,19360.97,940.144517039101,Poor Website,1
5743,No Membership,20154.98,682.27,No reason specified,1
5744,Premium Membership,56485.25,707.57,Quality Customer Care,0
5745,Basic Membership,37125.94,1467.7542888594085,Too many ads,1
5746,Basic Membership,49682.55,546.71,No reason specified,1
5747,Silver Membership,23009.85,730.18,Poor Product Quality,0
5748,No Membership,34896.49,661.19,Poor Website,1
5749,Premium Membership,49949.97,752.48,No reason specified,0
5750,No Membership,2832.34,656.02,No reason specified,1
5751,Basic Membership,37739.68,632.7,Poor Customer Service,1
5752,Basic Membership,43448.31,322.75556021858125,Poor Product Quality,1
5753,Platinum Membership,10082.16,720.65,Poor Customer Service,0
5754,Platinum Membership,12179.16,758.74,No reason specified,0
5755,No Membership,49853.25,622.23,No reason specified,1
5756,Silver Membership,26920.41,0.0,Too many ads,0
5757,Basic Membership,47275.56,0.0,Poor Customer Service,1
5758,No Membership,4919.32,606.88,Too many ads,1
5759,No Membership,43144.41,719.19,Too many ads,1
5760,Premium Membership,39366.81,719.4,Poor Website,0
5761,Gold Membership,22099.49,0.0,Poor Product Quality,0
5762,Basic Membership,38074.3,645.17,No reason specified,1
5763,No Membership,27021.26,673.91,Poor Product Quality,1
5764,No Membership,45307.55,644.57,Poor Customer Service,1
5765,Basic Membership,24355.48,517.94,Poor Customer Service,1
5766,Gold Membership,23187.62,0.0,No reason specified,1
5767,Gold Membership,42199.2,789.24,Poor Product Quality,0
5768,Silver Membership,26474.53,785.32,Too many ads,0
5769,Basic Membership,38598.01,713.75,Poor Website,1
5770,Gold Membership,88595.35,731.76,Reasonable Price,0
5771,Basic Membership,6133.01,63.388847623924114,Poor Product Quality,1
5772,Basic Membership,18460.88,615.16,Too many ads,1
5773,Basic Membership,32614.73,603.56,Poor Customer Service,1
5774,Silver Membership,39245.18,1249.7567013938,No reason specified,0
5775,Gold Membership,25121.68,0.0,Too many ads,0
5776,Silver Membership,26355.04,741.98,No reason specified,0
5777,Premium Membership,72095.56,783.44,Reasonable Price,0
5778,No Membership,17427.0,971.2435649046768,No reason specified,1
5779,No Membership,27074.96,270.16673483734746,Poor Website,1
5780,Basic Membership,23700.45,608.22,Poor Website,1
5781,Basic Membership,871.91,646.77,Poor Product Quality,1
5782,No Membership,16922.34,0.0,Poor Customer Service,1
5783,Basic Membership,23710.05,651.73,Poor Customer Service,1
5784,Basic Membership,27226.0,652.99,Poor Customer Service,1
5785,Gold Membership,5935.49,118.64948944896832,No reason specified,1
5786,No Membership,28789.54,602.83,Too many ads,1
5787,Basic Membership,8681.23,708.55,Poor Customer Service,1
5788,No Membership,47686.39,568.06,No reason specified,1
5789,Basic Membership,5519.24,0.0,Poor Customer Service,1
5790,Gold Membership,30978.51,637.94,Poor Website,1
5791,Platinum Membership,17944.64,727.04,Poor Website,0
5792,No Membership,4769.62,717.9,Poor Customer Service,1
5793,Basic Membership,9996.99,515.34,Poor Website,1
5794,No Membership,47733.56,619.32,Too many ads,1
5795,No Membership,11751.57,902.946457524754,Too many ads,1
5796,Silver Membership,40025.31,735.68,User Friendly Website,0
5797,Basic Membership,38917.54,586.41,No reason specified,1
5798,Gold Membership,25100.74,0.0,No reason specified,1
5799,Platinum Membership,5989.92,778.76,Too many ads,0
5800,No Membership,34577.85,651.85,Poor Website,1
5801,Silver Membership,8087.24,0.0,Poor Customer Service,1
5802,Basic Membership,37424.02,506.51,No reason specified,1
5803,No Membership,30583.32,531.59,No reason specified,1
5804,No Membership,16936.89,562.66,Poor Product Quality,1
5805,Gold Membership,42394.9,658.13,Too many ads,1
5806,Basic Membership,35079.84,704.93,Poor Product Quality,1
5807,No Membership,29101.96,713.82,Poor Customer Service,1
5808,Platinum Membership,79751.4,786.16,Products always in Stock,0
5809,Silver Membership,49667.86,623.71,Poor Product Quality,1
5810,Platinum Membership,8450.84,726.96,Poor Product Quality,0
5811,Basic Membership,16548.0,634.84,Too many ads,1
5812,No Membership,46044.84,658.65,Poor Website,1
5813,Platinum Membership,54276.93,703.15,Reasonable Price,0
5814,Silver Membership,47262.13,636.66,Poor Customer Service,1
5815,Gold Membership,30581.42,0.0,Poor Product Quality,0
5816,Premium Membership,98910.36,829.39,Quality Customer Care,0
5817,Silver Membership,21384.89,631.88,Too many ads,1
5818,Silver Membership,23226.43,762.48,Poor Customer Service,0
5819,Basic Membership,6102.57,609.63,Too many ads,1
5820,No Membership,12301.1,0.0,No reason specified,1
5821,Premium Membership,26085.73,0.0,Poor Product Quality,0
5822,Silver Membership,70846.65,709.36,Reasonable Price,0
5823,Platinum Membership,27376.9,769.84,Poor Product Quality,0
5824,Basic Membership,45483.23,656.59,No reason specified,1
5825,Platinum Membership,48677.4,732.92,Poor Customer Service,0
5826,No Membership,13713.66,635.92,Poor Customer Service,1
5827,Silver Membership,2424.65,731.91,Poor Product Quality,0
5828,Basic Membership,1504.92,535.88,Too many ads,1
5829,Silver Membership,42072.25,712.64,Poor Customer Service,0
5830,Gold Membership,25772.86,681.94,Poor Website,1
5831,Silver Membership,32134.49,1226.612284119391,Poor Product Quality,0
5832,Platinum Membership,43887.18,1045.552363495524,Poor Website,0
5833,Basic Membership,39967.09,979.0266140072712,Poor Website,1
5834,Basic Membership,46513.84,532.35,Poor Customer Service,1
5835,No Membership,19314.78,597.94,Poor Website,1
5836,Gold Membership,39519.16,712.7,Poor Website,0
5837,Gold Membership,22394.05,0.0,Poor Product Quality,0
5838,Silver Membership,48217.57,640.4,Too many ads,0
5839,Basic Membership,48580.06,0.0,Poor Product Quality,1
5840,Basic Membership,17149.92,663.37,Poor Product Quality,1
5841,Basic Membership,33230.74,0.0,No reason specified,1
5842,Silver Membership,13120.77,722.38,Poor Customer Service,0
5843,Gold Membership,10793.94,790.48,Too many ads,0
5844,No Membership,36454.67,536.7,Poor Website,1
5845,Gold Membership,28330.53,642.84,Too many ads,1
5846,Premium Membership,13032.08,0.0,No reason specified,0
5847,Platinum Membership,69134.47,793.48,Reasonable Price,0
5848,No Membership,23695.2,572.21,Poor Product Quality,1
5849,Basic Membership,2119.23,0.0,Poor Website,1
5850,Gold Membership,11347.52,712.47,Poor Customer Service,1
5851,No Membership,3783.44,640.61,Poor Website,1
5852,No Membership,13538.37,328.79616582864514,Poor Website,1
5853,Silver Membership,36089.23,639.6,Poor Customer Service,1
5854,No Membership,38666.15,559.17,Too many ads,1
5855,Platinum Membership,3598.49,843.09,Products always in Stock,0
5856,No Membership,17435.73,708.2,Poor Website,1
5857,Basic Membership,20812.06,511.71,Poor Product Quality,1
5858,Basic Membership,29006.54,671.6,No reason specified,1
5859,Premium Membership,36837.02,733.66,No reason specified,0
5860,Gold Membership,6256.71,831.47,Reasonable Price,0
5861,Platinum Membership,34922.01,706.01,No reason specified,0
5862,No Membership,49118.89,655.65,No reason specified,1
5863,No Membership,18575.03,670.35,No reason specified,1
5864,Basic Membership,25756.33,632.2,Too many ads,1
5865,Gold Membership,45142.23,749.86,Reasonable Price,0
5866,Basic Membership,8565.46,523.04,No reason specified,1
5867,Basic Membership,41186.95,553.7,Poor Website,1
5868,Gold Membership,28972.37,613.87,Poor Product Quality,1
5869,Silver Membership,30633.96,946.6311935935698,No reason specified,1
5870,Platinum Membership,90045.71,750.59,Products always in Stock,0
5871,Gold Membership,21565.03,711.65,Poor Customer Service,0
5872,No Membership,28705.99,486.9242277695348,Poor Customer Service,1
5873,No Membership,30611.08,0.0,Poor Product Quality,1
5874,Silver Membership,70605.13,789.2,Reasonable Price,0
5875,Basic Membership,13511.73,656.56,Too many ads,1
5876,Gold Membership,22979.17,461.04189730256127,Poor Website,0
5877,Premium Membership,12890.67,780.83,Poor Website,0
5878,Premium Membership,7583.17,0.0,Poor Website,0
5879,Silver Membership,25008.06,761.28,Poor Customer Service,0
5880,Platinum Membership,33898.37,787.6,Quality Customer Care,0
5881,Gold Membership,31350.6,743.85,Poor Product Quality,0
5882,No Membership,44462.37,701.05,Too many ads,1
5883,Premium Membership,40834.2,782.53,Poor Customer Service,0
5884,Premium Membership,41086.55,732.56,Poor Product Quality,0
5885,Premium Membership,5110.81,0.0,Poor Customer Service,0
5886,Silver Membership,2733.82,604.57,Poor Customer Service,1
5887,Platinum Membership,29650.2,764.02,Products always in Stock,0
5888,No Membership,31673.73,0.0,No reason specified,1
5889,Basic Membership,32509.47,541.32,Poor Website,1
5890,Silver Membership,30065.95,768.72,Poor Customer Service,0
5891,Basic Membership,24299.85,689.5,Poor Website,1
5892,Premium Membership,6380.57,708.77,No reason specified,0
5893,Platinum Membership,25089.75,780.93,Quality Customer Care,0
5894,No Membership,18624.2,518.7,Poor Customer Service,1
5895,Premium Membership,6892.63,766.24,No reason specified,0
5896,Silver Membership,1007.24,694.62,No reason specified,1
5897,Basic Membership,3977.85,615.31,No reason specified,1
5898,Gold Membership,43785.38,663.7,Poor Product Quality,1
5899,Premium Membership,38155.41,756.86,Quality Customer Care,0
5900,Premium Membership,71234.81,707.49,User Friendly Website,0
5901,No Membership,1406.39,78.34380893314426,Poor Product Quality,1
5902,No Membership,31680.74,716.57,Poor Product Quality,1
5903,Silver Membership,27836.9,617.2,Too many ads,1
5904,No Membership,15394.13,0.0,No reason specified,1
5905,No Membership,25264.54,535.55,Too many ads,1
5906,No Membership,1688.43,712.17,Poor Customer Service,1
5907,Silver Membership,2104.11,796.42,Poor Product Quality,0
5908,No Membership,18011.79,0.0,Poor Product Quality,1
5909,Basic Membership,27720.86,608.66,Poor Customer Service,1
5910,Platinum Membership,5926.83,777.49,Poor Customer Service,0
5911,Platinum Membership,13788.12,835.39,Quality Customer Care,0
5912,Basic Membership,26235.35,532.6,No reason specified,1
5913,No Membership,37311.33,614.42,No reason specified,1
5914,No Membership,19183.64,1070.284959596226,No reason specified,1
5915,Platinum Membership,29057.74,0.0,Products always in Stock,0
5916,No Membership,25670.53,679.09,Poor Product Quality,1
5917,Silver Membership,46296.11,1098.5006812471486,Poor Product Quality,0
5918,Gold Membership,20237.53,646.2,Poor Product Quality,1
5919,Basic Membership,11686.44,650.79,Poor Product Quality,1
5920,Platinum Membership,47192.43,773.11,Poor Customer Service,0
5921,Silver Membership,7227.92,665.12,No reason specified,1
5922,Premium Membership,19690.73,776.27,Poor Customer Service,0
5923,No Membership,43234.95,0.0,Too many ads,1
5924,Silver Membership,21359.23,620.01,Poor Website,1
5925,Premium Membership,25816.7,777.29,Poor Website,0
5926,Basic Membership,24674.26,693.95,No reason specified,1
5927,Basic Membership,38119.56,640.52,Poor Product Quality,1
5928,Basic Membership,12578.64,715.03,No reason specified,1
5929,Gold Membership,42276.13,753.35,Too many ads,0
5930,Silver Membership,25702.85,707.67,Poor Website,1
5931,No Membership,6052.72,218.0827038143728,Too many ads,1
5932,Silver Membership,42466.78,673.78,Poor Customer Service,1
5933,Basic Membership,7471.19,621.7,Too many ads,1
5934,Basic Membership,38967.82,1205.8665673483556,Poor Customer Service,1
5935,Gold Membership,6422.11,712.18,Poor Product Quality,0
5936,No Membership,40236.66,675.88,Poor Customer Service,1
5937,No Membership,48868.76,604.89,Poor Customer Service,1
5938,Premium Membership,29134.14,1099.9727460395386,Reasonable Price,0
5939,Basic Membership,47246.46,297.02214252713867,Too many ads,1
5940,No Membership,33683.02,780.6302753834875,No reason specified,1
5941,Gold Membership,45725.55,954.6229889912776,Too many ads,1
